Country id,Country Name,Year,Average cigarettes smoked per day by smoker,Percentage of smokers in male population,Percentage of smokers in female population,Percentage of smokers in population,Total number of smokers,Total number of female smokers,Total number of male smokers,GDP per capita,Unemployment,Health expenditure
3761,Albania,2000,16.799999,20.0,37.599998,3.0,461078,35035,426043,1126.68334010717,19.028,65.1499939
3762,Algeria,2000,17.5,15.8,30.700001,0.69999999,3296121,76851,3219270,1780.37607069151,29.77,62.11769485
3764,Angola,2000,22.1,8.8999996,16.9,1.3,648075,46818,601257,556.88424373456,4.163,13.00008678
3766,Argentina,2000,17.5,23.700001,27.5,20.200001,6315848,2780452,3535396,7666.51783423783,15.0,704.94592285
3767,Armenia,2000,25.799999,26.700001,55.700001,2.5,607845,30650,577195,603.298025247115,11.055,25.31324768
3768,Australia,2000,20.700001,21.4,23.4,19.5,3250473,1503713,1746761,21853.4499933573,6.28,1636.52868652
3769,Austria,2000,19.9,30.4,36.0,25.299999,2020904,878852,1142052,24625.6007227434,4.69,2269.12646484
3770,Azerbaijan,2000,13.1,20.299999,41.599998,0.80000001,1133760,24421,1109339,655.097432602586,11.78,18.98356628
3772,Bahrain,2000,27.4,12.5,18.0,4.4000001,57985,8174,49811,12738.7741181575,1.117,424.93597412
3773,Bangladesh,2000,5.5999999,22.799999,42.599998,1.4,19014894,567394,18447500,413.100185264402,3.27,8.6186285
3774,Barbados,2000,31.200001,6.5,11.1,2.0,13471,2101,11370,11560.2459031879,9.35,616.37762451
3775,Belarus,2000,18.299999,28.6,51.200001,9.3000002,2320364,410431,1909933,1276.2880341,12.254,55.50430298
3776,Belgium,2000,18.299999,27.200001,32.299999,22.6,2301099,982473,1318626,23098.8865077401,6.59,1849.91601563
3777,Belize,2000,33.700001,9.1999998,16.700001,1.7,13092,1181,11911,4642.1470345998,10.869,136.52131653
3778,Benin,2000,7.1999998,8.3000002,14.3,2.8,316350,54083,262267,502.997981047457,0.843,15.60655975
3779,Bhutan,2000,33.900002,10.4,16.5,3.8,34820,6114,28707,722.826756164774,1.625,31.09416771
3780,Bolivia,2000,2.2,33.799999,46.5,21.5,1725970,561557,1164412,977.329470360318,2.373,42.95851135
3781,Bosnia and Herzegovina,2000,22.299999,36.299999,45.700001,27.799999,1112576,444757,667820,1332.21052295102,26.189,106.2890625
3782,Botswana,2000,21.0,13.4,22.1,5.0,145021,27502,117519,3351.6965168531,15.88,195.29602051
3783,Brazil,2000,30.4,16.6,20.0,13.4,20414895,8405320,12009575,3726.81142041068,10.53,310.61404419
3785,Bulgaria,2000,25.200001,34.299999,44.299999,25.0,2312884,871434,1441450,1621.26210738992,16.22,94.51976013
3786,Burkina Faso,2000,3.2,12.0,17.1,7.3000002,739313,236812,502500,249.802075679455,2.635,7.36981916
3787,Burundi,2000,4.8000002,12.6,17.700001,7.8000002,430131,136611,293520,138.004617225366,2.998,8.52349854
3788,Cambodia,2000,10.1,21.700001,40.900002,4.6999998,1570681,178911,1391771,301.516598515387,0.972,19.78130531
3789,Cameroon,2000,14.0,7.6999998,13.7,1.9,673302,83690,589611,700.163236203967,7.591,28.79333305
