Country Code,Country Name,2020,2018,2016,2014,2012,2010,2008
EMR,Algeria,2.34,2.55,1.9,1.91,1.04,1.14,0.98
EUR,Angola,1.56,1.75,. . .,2.06,1.57,. . .,0.67
AFR,Benin,0.9,0.89,0.85,1.02,0.94,0.99,1.06
EUR,Botswana,4.31,3.81,3.12,3.08,3.25,2.63,2.33
AFR,Burkina Faso,1.35,1.34,1.1,1.02,0.94,0.99,1.06
AMR,Burundi,1.04,0.9,0.96,1.03,0.55,0.65,0.49
AMR,Cabo Verde,2.66,1.91,1.81,2.18,2.01,2.13,2.27
EUR,Cameroon,1.26,1.07,0.85,1.02,0.94,0.99,1.06
WPR,Central African Republic, . . . ,0.98,. . .,1.02,. . .,0.62,0.64
EUR,Chad,0.9,1.79,1.27,1.43,0.94,0.99,1.06
EUR,Comoros,0.96,0.95,1.69,1.36,1.25,1.32,1.41
AMR,Congo,1.35,1.16,1.1,1.22,0.94,0.99,1.06
EMR,Côte d'Ivoire,1.26,1.25,1.19,1.43,1.31,1.39,1.49
SEAR,Democratic Republic of the Congo,0.51,0.77,1.06,0.81,0.82,0.78,0.94
AMR,Equatorial Guinea,0.9,0.89,0.85,1.02,0.94,0.99,1.06
EUR,Eritrea, . . . ,6.5,6.67,3.9,2.6,1.95,1.63
EUR,Ethiopia,1.15,0.55,0.69,0.76,0.45,0.55,0.44
AMR,Gabon,1.81,1.79,1.69,2.04,1.87,1.99,2.12
AFR,Gambia,1.35,1.25,0.96,0.71,0.46,0.35,0.36
SEAR,Ghana,0.88,1.06,1.26,0.82,1.06,1.39,1.9
AMR,Guinea,0.52,. . .,0.39,. . .,0.43,0.39,0.39
EUR,Guinea-Bissau, . . . ,0.89,0.85,0.61,0.56,0.6,0.64
AFR,Kenya,2.32,1.29,1.28,1.14,1.07,1.25,1.03
AMR,Lesotho,2.77,3.13,. . .,3.27,3.91,3.82,2.36
WPR,Liberia,1.41,0.81,0.64,0.69,0.88,0.69,0.78
EUR,Madagascar,1.05,1.22,1.35,1.22,0.88,0.92,0.75
AFR,Malawi,0.71,. . .,. . .,2.01,1.82,. . .,1.03
AFR,Mali,1.44,1.43,1.36,1.43,1.31,1.39,1.49
WPR,Mauritania,1.07,1.12,0.86,1.74,1.32,1.51,1.35
