Country Code,Country Name,2020,2018,2016,2014,2012,2010,2008
EMR,Algeria,0.35,0.34,0.37,0.35,0.51,0.49,0.52
EUR,Angola,0.12,0.24,. . .,0.24,0.23,. . .,0.23
AFR,Benin,0.1,0.05,0.06,0.09,0.09,0.12,0.07
EUR,Botswana,0.52,0.5,0.5,0.55,0.49,0.55,0.43
AFR,Burkina Faso,0.44,0.42,0.35,0.32,0.32,0.32,0.31
AMR,Burundi,0.37,0.43,0.43,0.43,0.54,0.56,0.59
AMR,Cabo Verde,0.19,0.11,0.11,0.11,0.11,0.1,0.1
EUR,Cameroon,0.43,0.42,0.47,0.4,0.42,0.31,0.32
WPR,Central African Republic,. . .,0.42,. . .,0.33,. . .,0.33,0.33
EUR,Chad,0.52,0.34,0.34,0.31,0.25,0.25,0.25
EUR,Comoros,0.74,0.71,0.37,0.51,0.51,0.51,0.42
AMR,Congo,0.27,0.37,0.37,0.38,0.32,0.32,0.32
EMR,Côte d'Ivoire,0.35,0.33,0.31,0.26,0.25,0.25,0.25
SEAR,Democratic Republic of the Congo,0.52,0.39,0.34,0.48,0.39,0.28,0.29
AMR,Equatorial Guinea,0.24,0.25,0.3,0.31,0.28,0.22,0.21
EUR,Eritrea,. . .,0.55,0.55,0.55,0.55,0.55,0.55
EUR,Ethiopia,0.51,0.19,0.19,0.19,0.34,0.39,0.25
AMR,Gabon,0.22,0.21,0.25,0.21,0.21,0.2,0.17
AFR,Gambia,0.49,0.46,0.54,0.46,0.38,0.56,0.52
SEAR,Ghana,0.32,0.31,0.28,0.28,0.23,0.22,0.27
AMR,Guinea,0.1,. . .,0.16,. . .,0.11,0.13,0.1
EUR,Guinea-Bissau,. . .,0.07,0.07,0.08,0.06,0.06,0.06
AFR,Kenya,0.39,0.52,0.52,0.49,0.49,0.64,0.76
AMR,Lesotho,0.51,0.51,. . .,0.46,0.45,0.45,0.29
WPR,Liberia,0.57,0.35,0.23,0.23,0.2,0.19,0.12
EUR,Madagascar,0.8,0.8,0.8,0.8,0.76,0.76,0.67
AFR,Malawi,0.56,. . .,. . .,0.21,0.26,. . .,0.49
AFR,Mali,0.28,0.28,0.28,0.28,0.28,0.22,0.17
WPR,Mauritania,0.06,0.1,0.1,0.07,0.04,0.07,0.09
AFR,Mauritius,0.81,0.84,0.7,0.73,0.73,0.72,0.81
AMR,Mozambique,0.29,0.29,0.31,0.31,0.24,0.27,0.48
AFR,Namibia,0.42,0.44,0.43,0.42,0.48,0.46,0.43
AFR,Niger,0.32,0.31,0.35,0.28,0.31,0.3,0.28
AFR,Nigeria,0.37,0.3,0.21,0.21,0.21,0.21,0.21
AMR,Rwanda,0.64,0.56,0.56,0.33,0.34,0.38,0.33
WPR,Sao Tome and Principe,0.34,0.4,0.25,0.25,0.25,0.25,0.25
AMR,Senegal,0.38,0.38,0.38,0.35,0.3,0.3,0.27
AFR,Seychelles,0.7,0.7,0.71,0.8,0.67,0.68,0.76
AFR,Sierra Leone,0.23,0.18,0.13,0.13,0.13,0.13,0.13
WPR,South Africa,0.53,0.55,0.5,0.49,0.49,0.48,0.48
AMR,South Sudan,0.66,. . .,0.76,. . .,. . .,. . .,. . .
AFR,Eswatini,0.54,0.53,0.5,0.46,. . .,0.45,0.37
EUR,Togo,0.41,0.22,0.22,0.24,0.22,0.22,0.2
AMR,Uganda,0.35,0.4,0.42,0.36,0.35,0.45,0.59
EUR,United Republic of Tanzania,0.3,0.32,0.34,0.31,0.28,0.26,0.35
EUR,Zambia,0.39,0.41,0.37,0.34,0.36,0.36,0.47
SEAR,Zimbabwe,0.29,0.36,0.36,0.36,0.33,0.52,0.43
AFR,Antigua and Barbuda,0.13,0.13,0.15,0.15,0.15,0.15,0.15
EUR,Argentina,0.77,0.77,0.8,0.7,0.7,0.69,0.69
EMR,Bahamas,0.43,. . .,0.4,0.43,0.26,0.31,0.31
AMR,Barbados,. . .,0.47,0.4,0.42,0.48,0.48,0.48
AMR,Belize,0.35,0.44,0.37,0.37,0.37,0.59,0.57
AMR,Bolivia,0.36,0.37,0.39,0.39,0.39,0.38,0.41
EMR,Brazil,0.82,0.83,0.68,0.65,0.63,0.59,0.57
AMR,Canada,0.62,0.64,0.66,0.7,0.64,0.62,0.65
AFR,Chile,0.8,0.82,0.89,0.83,0.82,0.76,0.76
AFR,Colombia,0.73,0.78,0.5,0.49,0.51,0.5,0.34
EUR,Costa Rica,0.54,0.55,0.56,0.57,0.58,0.42,0.42
AFR,Cuba,. . .,0.7,0.7,0.7,0.78,. . .,0.75
AFR,Dominica,0.23,0.24,0.24,0.23,0.23,0.26,0.26
WPR,Dominican Republic,0.44,0.51,0.57,0.59,0.59,0.57,0.57
EUR,Ecuador,0.67,0.7,0.74,0.7,0.73,0.64,0.64
EUR,El Salvador,0.47,0.48,0.53,0.53,0.53,0.55,0.41
AFR,Grenada,. . .,0.44,0.47,0.48,. . .,0.49,0.41
AFR,Guatemala,0.49,0.49,0.49,0.49,0.49,0.52,0.52
